name,title,company,location,company_hq,email,linkedin,recent_publication,publication_year,publication_title,company_funding,uses_3d_models,tenure_months,propensity_score,rank
Dr. Robert Johnson,Principal Scientist - Toxicology,Bluebird Bio,"Seattle, WA","Seattle, WA",robert.johnson@bluebirdbio.com,linkedin.com/in/robertjohnson,False,,,Series B,True,42,60,115
Dr. Karen Martin,Safety Pharmacology Lead,Moderna Therapeutics,"Boston, MA","Boston, MA",karen.martin@modernathera.com,linkedin.com/in/karenmartin,False,,,Public,False,9,60,115
Dr. Jessica Brown,Scientist II - Safety Assessment,Regeneron,"Cambridge, UK","Cambridge, UK",jessica.brown@regeneron.com,linkedin.com/in/jessicabrown,False,,,Series C,False,56,60,115
Dr. Maria Johnson,Senior Director - Nonclinical Safety,Merck,"South San Francisco, CA","South San Francisco, CA",maria.johnson@merck.com,linkedin.com/in/mariajohnson,False,,,Series C,False,44,60,115
Dr. Jennifer Park,Senior Director - Nonclinical Safety,Regeneron,"San Diego, CA","San Diego, CA",jennifer.park@regeneron.com,linkedin.com/in/jenniferpark,False,,,Series C,True,7,60,115
Dr. Andrew Harris,Associate Director - Safety,Bluebird Bio,"South San Francisco, CA","South San Francisco, CA",andrew.harris@bluebirdbio.com,linkedin.com/in/andrewharris,False,,,Series C,False,41,60,115
Dr. Nancy Mitchell,Research Fellow,Gilead Sciences,"Chicago, IL","Chicago, IL",nancy.mitchell@gileadscienc.com,linkedin.com/in/nancymitchell,True,2024.0,Predictive toxicology with in vitro systems,Series C,False,58,60,115
Dr. Nancy Miller,Senior Director - Nonclinical Safety,Gilead Sciences,"London, UK","London, UK",nancy.miller@gileadscienc.com,linkedin.com/in/nancymiller,False,,,Series C,False,37,60,115
Dr. Amanda Davis,Safety Pharmacology Lead,AstraZeneca,"San Francisco, CA","San Francisco, CA",amanda.davis@astrazeneca.com,linkedin.com/in/amandadavis,False,,,Series B,False,41,60,115
Dr. Jennifer Johnson,Group Leader - Toxicology,Regeneron,"Research Triangle Park, NC","Research Triangle Park, NC",jennifer.johnson@regeneron.com,linkedin.com/in/jenniferjohnson,True,2022.0,Drug-induced liver injury prediction using spheroids,Seed,False,22,60,115
Dr. Kevin Mitchell,Safety Pharmacology Lead,Alexion,"Boston, MA","Boston, MA",kevin.mitchell@alexion.com,linkedin.com/in/kevinmitchell,False,,,IPO,True,57,60,115
Dr. Betty Chen,Principal Investigator,Eli Lilly,"Research Triangle Park, NC","Research Triangle Park, NC",betty.chen@elililly.com,linkedin.com/in/bettychen,True,2022.0,3D cell culture models in safety pharmacology,IPO,False,44,59,136
Dr. Karen Park,Toxicology Manager,AbbVie,"Research Triangle Park, NC","Research Triangle Park, NC",karen.park@abbvie.com,linkedin.com/in/karenpark,False,,,Series B,True,13,56,137
Dr. Sarah Miller,Head of Preclinical Safety,Eli Lilly,Remote - Colorado,Remote - Colorado,sarah.miller@elililly.com,linkedin.com/in/sarahmiller,False,,,Series C,True,16,56,137
Dr. Thomas Jones,Group Leader - Toxicology,Editas Medicine,"London, UK","London, UK",thomas.jones@editasmedici.com,linkedin.com/in/thomasjones,False,,,Public,False,29,56,137
Dr. David Rodriguez,Head of Preclinical Safety,Bayer,"Seattle, WA","Seattle, WA",david.rodriguez@bayer.com,linkedin.com/in/davidrodriguez,False,,,Public,False,57,56,137
Dr. Amanda Martin,Safety Pharmacology Lead,Amgen,"San Francisco, CA","San Francisco, CA",amanda.martin@amgen.com,linkedin.com/in/amandamartin,False,,,Public,False,20,56,137
Dr. Kevin Thompson,Director of Safety Sciences,CRISPR Therapeutics,"Philadelphia, PA","Philadelphia, PA",kevin.thompson@crisprtherap.com,linkedin.com/in/kevinthompson,False,,,Series B,True,50,56,137
Dr. Jennifer Moore,VP Safety Assessment,Roche,Remote - Texas,Remote - Texas,jennifer.moore@roche.com,linkedin.com/in/jennifermoore,False,,,Series B,False,38,56,137
Dr. Brian Smith,Senior Director - Nonclinical Safety,Ginkgo Bioworks,"London, UK","London, UK",brian.smith@ginkgobiowor.com,linkedin.com/in/briansmith,False,,,Public,False,26,56,137
Dr. Jennifer Williams,Associate Director - Safety,AbbVie,"Chicago, IL","Chicago, IL",jennifer.williams@abbvie.com,linkedin.com/in/jenniferwilliams,False,,,Series B,True,10,56,137
Dr. Sarah Anderson,Group Leader - Toxicology,Gilead Sciences,"Chicago, IL","Chicago, IL",sarah.anderson@gileadscienc.com,linkedin.com/in/sarahanderson,False,,,Series C,False,14,56,137
Dr. Sarah Lee,Principal Scientist - Toxicology,AbbVie,"Seattle, WA","Seattle, WA",sarah.lee@abbvie.com,linkedin.com/in/sarahlee,False,,,Public,False,56,56,137
Dr. Jennifer Johnson,VP Safety Assessment,Sanofi,"Seattle, WA","Seattle, WA",jennifer.johnson@sanofi.com,linkedin.com/in/jenniferjohnson,False,,,Public,False,35,56,137
Dr. Michael Davis,Toxicology Manager,GSK,"Cambridge, UK","Cambridge, UK",michael.davis@gsk.com,linkedin.com/in/michaeldavis,False,,,Public,True,14,56,137
Dr. Robert Smith,Senior Director - Nonclinical Safety,Johnson & Johnson,"New York, NY","New York, NY",robert.smith@johnson&john.com,linkedin.com/in/robertsmith,False,,,Series C,True,8,56,137
Dr. Nancy Anderson,Director of Toxicology,AstraZeneca,"Indianapolis, IN","Indianapolis, IN",nancy.anderson@astrazeneca.com,linkedin.com/in/nancyanderson,False,,,Series B,True,46,56,137
Dr. Betty Chen,Head of Preclinical Safety,GSK,"Philadelphia, PA","Philadelphia, PA",betty.chen@gsk.com,linkedin.com/in/bettychen,False,,,Series B,True,49,56,137
Dr. Jennifer Young,Director of Toxicology,Intellia Therapeutics,"San Francisco, CA","San Francisco, CA",jennifer.young@intelliather.com,linkedin.com/in/jenniferyoung,False,,,Public,False,25,56,137
Dr. Robert Chen,Lead Toxicologist,GSK,"Cambridge, MA","Cambridge, MA",robert.chen@gsk.com,linkedin.com/in/robertchen,False,,,Series C,False,48,55,154
Dr. James Davis,Director of Toxicology,Sanofi,Remote - Texas,Remote - Texas,james.davis@sanofi.com,linkedin.com/in/jamesdavis,False,,,Public,False,11,52,155
Dr. Nancy Davis,Principal Scientist - Toxicology,Moderna Therapeutics,"Philadelphia, PA","Philadelphia, PA",nancy.davis@modernathera.com,linkedin.com/in/nancydavis,False,,,Public,True,21,52,155
Dr. Betty Martinez,Research Fellow,Sanofi,"San Diego, CA","San Diego, CA",betty.martinez@sanofi.com,linkedin.com/in/bettymartinez,True,2022.0,Advanced in vitro toxicity testing methods,Series B,False,56,52,155
Dr. James Mitchell,Group Leader - Toxicology,Bayer,"Philadelphia, PA","Philadelphia, PA",james.mitchell@bayer.com,linkedin.com/in/jamesmitchell,False,,,Public,True,35,52,155
Dr. Michael Williams,Research Fellow,CRISPR Therapeutics,"San Diego, CA","San Diego, CA",michael.williams@crisprtherap.com,linkedin.com/in/michaelwilliams,True,2022.0,Novel 3D hepatic models for DILI assessment,Series B,False,7,52,155
Dr. Kevin Rodriguez,Scientist II - Safety Assessment,Moderna Therapeutics,"Chicago, IL","Chicago, IL",kevin.rodriguez@modernathera.com,linkedin.com/in/kevinrodriguez,False,,,IPO,False,43,52,155
Dr. Susan Johnson,Senior Director - Nonclinical Safety,AbbVie,"Boston, MA","Boston, MA",susan.johnson@abbvie.com,linkedin.com/in/susanjohnson,False,,,Seed,False,37,52,155
Dr. Daniel Jones,Group Leader - Toxicology,Merck,Remote - Texas,Remote - Texas,daniel.jones@merck.com,linkedin.com/in/danieljones,False,,,Public,True,45,52,155
Dr. Brian Lee,Head of Preclinical Safety,GSK,"Research Triangle Park, NC","Research Triangle Park, NC",brian.lee@gsk.com,linkedin.com/in/brianlee,False,,,Public,False,42,52,155
Dr. Michael Brown,Senior Research Scientist,CRISPR Therapeutics,"Cambridge, UK","Cambridge, UK",michael.brown@crisprtherap.com,linkedin.com/in/michaelbrown,True,2022.0,Liver organoid applications in drug discovery,Series A,False,55,52,155
Dr. Michael Moore,Senior Director - Nonclinical Safety,GSK,"Chicago, IL","Chicago, IL",michael.moore@gsk.com,linkedin.com/in/michaelmoore,False,,,Public,True,30,52,155
Dr. Emily Miller,Director of Toxicology,AstraZeneca,Remote - Colorado,Remote - Colorado,emily.miller@astrazeneca.com,linkedin.com/in/emilymiller,False,,,Public,True,15,52,155
Dr. David Kumar,Principal Investigator,Vertex Pharmaceuticals,"Seattle, WA","Seattle, WA",david.kumar@vertex.com,linkedin.com/in/davidkumar,False,,,Series C,False,29,51,167
Dr. Amanda Lee,Lead Toxicologist,Editas Medicine,"Seattle, WA","Seattle, WA",amanda.lee@editasmedici.com,linkedin.com/in/amandalee,False,,,Series C,True,10,51,167
Dr. Jessica Harris,Research Fellow,Biogen,"Research Triangle Park, NC","Research Triangle Park, NC",jessica.harris@biogen.com,linkedin.com/in/jessicaharris,True,2022.0,NAMs for hepatotoxicity screening,Series B,True,46,48,169
Dr. Amanda Wilson,Research Scientist II,Eli Lilly,"New York, NY","New York, NY",amanda.wilson@elililly.com,linkedin.com/in/amandawilson,True,2022.0,3D cell culture models in safety pharmacology,Series B,False,56,48,169
Dr. James Anderson,Research Fellow,Novartis,"Cambridge, UK","Cambridge, UK",james.anderson@novartis.com,linkedin.com/in/jamesanderson,True,2022.0,NAMs for hepatotoxicity screening,IPO,False,52,48,169
Dr. Michelle Rodriguez,Senior Research Scientist,CRISPR Therapeutics,Remote - Texas,Remote - Texas,michelle.rodriguez@crisprtherap.com,linkedin.com/in/michellerodriguez,True,2022.0,Advanced in vitro toxicity testing methods,Series C,True,49,48,169
Dr. Sarah Kumar,Director of Safety Sciences,AstraZeneca,"South San Francisco, CA","South San Francisco, CA",sarah.kumar@astrazeneca.com,linkedin.com/in/sarahkumar,False,,,Seed,True,41,48,169
Dr. Jennifer Park,Safety Pharmacology Lead,Alnylam Pharmaceuticals,"Seattle, WA","Seattle, WA",jennifer.park@alnylam.com,linkedin.com/in/jenniferpark,False,,,Seed,True,40,48,169
Dr. Susan Jones,Research Fellow,Johnson & Johnson,"Research Triangle Park, NC","Research Triangle Park, NC",susan.jones@johnson&john.com,linkedin.com/in/susanjones,True,2022.0,Liver organoid applications in drug discovery,Series B,True,52,48,169
Dr. Amanda Young,Staff Scientist - DMPK,AstraZeneca,New Jersey,New Jersey,amanda.young@astrazeneca.com,linkedin.com/in/amandayoung,True,2022.0,Microphysiological systems for toxicity prediction,Public,True,36,48,169
Dr. Lisa Martin,Senior Director - Nonclinical Safety,Alexion,"San Francisco, CA","San Francisco, CA",lisa.martin@alexion.com,linkedin.com/in/lisamartin,False,,,Seed,False,38,48,169
Dr. Robert Taylor,Principal Investigator,GSK,New Jersey,New Jersey,robert.taylor@gsk.com,linkedin.com/in/roberttaylor,False,,,Public,False,44,47,178
Dr. Christopher Moore,Lead Toxicologist,Roche,"Oxford, UK","Oxford, UK",christopher.moore@roche.com,linkedin.com/in/christophermoore,False,,,IPO,True,60,47,178
Dr. Susan Rodriguez,Lead Toxicologist,GSK,"South San Francisco, CA","South San Francisco, CA",susan.rodriguez@gsk.com,linkedin.com/in/susanrodriguez,False,,,IPO,False,47,47,178
Dr. Thomas Kumar,Research Fellow,Bayer,"Basel, Switzerland","Basel, Switzerland",thomas.kumar@bayer.com,linkedin.com/in/thomaskumar,True,2022.0,Drug-induced liver injury prediction using spheroids,Seed,False,55,44,181
Dr. Brian Kumar,Head of Preclinical Safety,Johnson & Johnson,"Research Triangle Park, NC","Research Triangle Park, NC",brian.kumar@johnson&john.com,linkedin.com/in/briankumar,False,,,Seed,True,10,44,181
Dr. Kevin Taylor,Staff Scientist - DMPK,Moderna Therapeutics,"Basel, Switzerland","Basel, Switzerland",kevin.taylor@modernathera.com,linkedin.com/in/kevintaylor,False,,,Series C,True,41,40,183
Dr. David Williams,Senior Research Scientist,GSK,"Cambridge, MA","Cambridge, MA",david.williams@gsk.com,linkedin.com/in/davidwilliams,False,,,IPO,False,37,36,184
Dr. Thomas Lee,Research Scientist II,BioMarin,"Oxford, UK","Oxford, UK",thomas.lee@biomarin.com,linkedin.com/in/thomaslee,False,,,Series C,False,51,36,184
Dr. David Wilson,Principal Investigator,Johnson & Johnson,"New York, NY","New York, NY",david.wilson@johnson&john.com,linkedin.com/in/davidwilson,False,,,Seed,False,27,35,186
Dr. Betty Moore,Senior Scientist - Hepatotoxicity,Biogen,Remote - Colorado,Remote - Colorado,betty.moore@biogen.com,linkedin.com/in/bettymoore,False,,,Series A,False,43,32,187
Dr. Michael Martinez,Senior Research Scientist,Moderna Therapeutics,"Research Triangle Park, NC","Research Triangle Park, NC",michael.martinez@modernathera.com,linkedin.com/in/michaelmartinez,False,,,Series C,True,27,32,187
Dr. Betty Park,Staff Scientist - DMPK,Alnylam Pharmaceuticals,Remote - California,Remote - California,betty.park@alnylam.com,linkedin.com/in/bettypark,False,,,Series B,False,29,32,187
Dr. Susan Thompson,Staff Scientist - DMPK,AstraZeneca,Remote - California,Remote - California,susan.thompson@astrazeneca.com,linkedin.com/in/susanthompson,False,,,Series C,False,22,32,187
Dr. Susan Young,Research Scientist II,Novartis,"San Francisco, CA","San Francisco, CA",susan.young@novartis.com,linkedin.com/in/susanyoung,False,,,Public,False,52,32,187
Dr. Laura Williams,Research Fellow,Editas Medicine,New Jersey,New Jersey,laura.williams@editasmedici.com,linkedin.com/in/laurawilliams,False,,,Public,True,32,32,187
Dr. Thomas Garcia,Staff Scientist - DMPK,Takeda,"Seattle, WA","Seattle, WA",thomas.garcia@takeda.com,linkedin.com/in/thomasgarcia,False,,,Public,True,9,32,187
Dr. Brian Martinez,Senior Research Scientist,Eli Lilly,"Chicago, IL","Chicago, IL",brian.martinez@elililly.com,linkedin.com/in/brianmartinez,False,,,Series C,False,58,32,187
Dr. Matthew Davis,Senior Research Scientist,Eli Lilly,"Chicago, IL","Chicago, IL",matthew.davis@elililly.com,linkedin.com/in/matthewdavis,False,,,Public,False,19,28,195
Dr. Maria Martinez,Senior Scientist - Hepatotoxicity,Alnylam Pharmaceuticals,Remote - Texas,Remote - Texas,maria.martinez@alnylam.com,linkedin.com/in/mariamartinez,False,,,Public,True,26,28,195
Dr. Matthew Smith,Research Scientist II,AbbVie,Remote - Texas,Remote - Texas,matthew.smith@abbvie.com,linkedin.com/in/matthewsmith,False,,,Public,False,43,28,195
Dr. Christopher Harris,Research Fellow,Merck,"Philadelphia, PA","Philadelphia, PA",christopher.harris@merck.com,linkedin.com/in/christopherharris,False,,,Public,False,28,28,195
Dr. Brian Davis,Senior Research Scientist,Merck,Remote - California,Remote - California,brian.davis@merck.com,linkedin.com/in/briandavis,False,,,Public,False,53,28,195
Dr. Robert Young,Senior Research Scientist,AbbVie,Remote - Texas,Remote - Texas,robert.young@abbvie.com,linkedin.com/in/robertyoung,False,,,Public,False,52,28,195
